mask_client_identifier,amount1,amount2,rec_date,SMS_text
bwPItYt7s6lGPLaxPIsp/g==,0,16839.69,1/15/2024,"dear nfhnl, npr 16,839.69 has been deposited in your a/c ###001 on 15/01/2024 02:52. remarks: int paid for:f33175######"
CE1g0h7I0lmvI2xN0CrTuw==,523.58,0,1/15/2024,your a/c ##01 has been deposited by npr 523.58 on 15/01/24 07:00rmk: int from : 18/10/23  to  . av.bal.37975.69.enjoy fd upto 9.55%
OWLr0TMWp5TdH8Ii9fWWYA==,521449.48.,11400,1/15/2024,"dear rfihk, npr 11,400.00 is deposited in a/c 022#4594 on 15/01/2024 11:25. rmk: 250124######p00a. good baln: npr 521449.48."
ZXzx9IEGggpnQYgSO8orBw==,0,0,2/11/2024,"a/c 043#01 debited by 1830 on 2024-02-11 08:42:03.0,xyzcode:27169004|na."
BvMLEj0fCrXkYz1ZmDl/dg==,3000,0,2/11/2024,"dear jmvaq, a/c 001###0005 deposited by npr 3,000.00 on 11/02/2024 15:19:33. rmk: xyzcodexp-409577 av bal:37247.06"
BvMLEj0fCrXkYz1ZmDl/dg==,3000,0,2/11/2024,"dear feacf, a/c 001###0005 deposited by npr 3,000.00 on 11/02/2024 15:24:39. rmk: mobile payme av bal:40247.06"
BvMLEj0fCrXkYz1ZmDl/dg==,3000,0,2/11/2024,"dear cgwcm, a/c 001###0005 deposited by npr 3,000.00 on 11/02/2024 15:28:17. rmk: mobile payme av bal:43247.06"
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/11/2024,"a/c 099#01 debited by 29918 on 2024-02-11 09:56:10.0,ft from kamala rai t."
bf13/3Fb92NQN3Pejei9Eg==,0,0,2/11/2024,"a/c 099#01 credited by 20000 on 2024-02-11 13:11:33.0,cips/7010316043g/ime."
bf13/3Fb92NQN3Pejei9Eg==,0,0,1/14/2024,"stay updated about revised minimum balances in xyzFinancialinstitution accounts url a/c 099#01 debited by 36655 on 2024-01-14 08:37:36.0,xyzcode:24816735|na."
znpkqDjEwydqeqZHKYDzyw==,0,22000,1/14/2024,"dear fulch,npr 22,000.00 credited in your a/c ###0011 on 14/01/2024 remarks: closing__n available bal: 45724.99. update kyc url"
znpkqDjEwydqeqZHKYDzyw==,0,100000,1/14/2024,"dear wdeqk,npr 100,000.00 debited from your a/c ###0011 on 14/01/2024 remarks: cipsuserft available bal: 23724.99. update kyc url"
CaRMs797vWJe9l0zQInIKg==,0,0,1/14/2024,"dear bjvhr, your verification code for reset device is 128804. don't share this code with anyone ann8uullh9l"
bV6oDJgaWQU15xITCpVMhA==,0,15594,1/14/2024,"dear ouvnc, npr 15,594.00 has been withdrawn from your a/c 057###11 on 14/01/2024 21:03:09. rmk: convergent,29859472"
bzzFF6EQHy9VDlbl0Erh/g==,0,4000,1/14/2024,"dear miomq, npr 4,000.00 has been deposited in your a/c 108###11 on 14/01/2024 16:14:22. rmk: 98159XXXXX,nobraj ko atm"
c3UcwMxbpoEoLFwni5UZ8A==,0,500,1/10/2024,"dear wcjbx,npr 500.00 credited in your a/c ###0010 on 10/01/2024 remarks: indrakant  available bal: 500.46. update kyc url"
OWLr0TMWp5TdH8Ii9fWWYA==,0,0,1/10/2024,"respected shareholders,"
BvMLEj0fCrXkYz1ZmDl/dg==,36423,0,1/10/2024,"dear mxpco, a/c 001###0005 deposited by npr 36,423.00 on 10/01/2024 17:20:57. rmk: salary poush av bal:36423.06"
BvMLEj0fCrXkYz1ZmDl/dg==,2142,0,1/10/2024,"dear uvtpj, a/c 001###0005 withdrawn by npr 2,142.00 on 10/01/2024 17:21:41. rmk: pf poush av bal:34281.06"
CE1g0h7I0lmvI2xN0CrTuw==,4294,0,1/10/2024,"dear bfglu, thank you for payment of rs. 4,294.00 for policy no. nf13742.please download our customer service for updates, url"
CE1g0h7I0lmvI2xN0CrTuw==,19659,0,1/10/2024,"your a/c ##01 has been deposited by npr 19,659.00 on 10/01/24 17:38rmk: salary of 2080 poush . av.bal.37483.52.enjoy fd upto 9.60%"
BFEFbO8xBHBM4WpjrGMLiw==,14624.83,0,1/10/2024,"your a/c ##01 has been deposited by npr 14,624.83 on 10/01/24 11:31rmk: xyzFinancialinstitutiontxn cf-b0n9mvmlrd:mi. av.bal.21301.17.enjoy fd upto 9.60%"
